Plot Title: ECO66G12-Water,,,,,,,,,,
,Date / Time,Water BP psi,Water Temp oC,Air BP psi,Water Level ft,Air Temp oC,,,,
#,"Date Time, GMT-04:00","Abs Pres, psi (LGR S/N: 10229557, SEN S/N: 10229557)","Temp, °C (LGR S/N: 10229557, SEN S/N: 10229557)","Abs Pres Barom., psi (LGR S/N: 10229571, SEN S/N: 10229571)","Water Level, feet (LGR S/N: 10229557)","Temp, °C (LGR S/N: 10229571, SEN S/N: 10229571)",Coupler Detached (LGR S/N: 10229557),Coupler Attached (LGR S/N: 10229557),Stopped (LGR S/N: 10229557),End Of File (LGR S/N: 10229557)
1,1/13/2014 11:00,14.1919,10.944,,,,Logged,,,
2,1/13/2014 11:30,14.4869,7.983,14.1867,0.643,7.079,,,,
3,1/13/2014 12:00,14.4916,7.983,14.1927,0.64,6.471,,,,
4,1/13/2014 12:30,14.4781,8.082,14.1874,0.621,6.775,,,,
5,1/13/2014 13:00,14.4759,8.082,14.1896,0.611,7.179,,,,
6,1/13/2014 13:30,14.4648,8.182,14.1793,0.609,7.381,,,,
7,1/13/2014 14:00,14.4601,8.182,14.1748,0.608,7.381,,,,
8,1/13/2014 14:30,14.4559,8.282,14.1713,0.607,7.582,,,,
9,1/13/2014 15:00,14.4536,8.282,14.167,0.611,7.179,,,,
10,1/13/2014 15:30,14.4468,8.282,14.1629,0.605,7.28,,,,
11,1/13/2014 16:00,14.4421,8.282,14.1602,0.601,7.179,,,,
12,1/13/2014 16:30,14.4468,8.282,14.168,0.593,7.381,,,,
13,1/13/2014 17:00,14.4513,8.282,14.1737,0.591,7.179,,,,
14,1/13/2014 17:30,14.4559,8.282,14.1771,0.593,6.978,,,,
15,1/13/2014 18:00,14.4556,8.182,14.1796,0.587,6.573,,,,